Słowo po polsku,Słowo po hiszpańsku,Słowo po hiszpańsku z akcentem,Wymowa
0,cero,cero,cero
1,uno,uno,uno
2,dos,dos,dos
3,tres,tres,tres
4,cuatro,cuatro,kuatro
5,cinco,cinco,sinko
6,seis,seis,sejs
7,siete,siete,sjete
8,ocho,ocho,ocho
9,nueve,nueve,nuewe
10,diez,diez,dyes
11,once,once,onse
12,doce,doce,doce
13,trece,trece,trese
14,catorce,catorce,katorse
15,quince,quince,kinse
16,dieciseis,dieciséis,diesiseis
17,diecisiete,diecisiete,diesisiete
18,dieciocho,dieciocho,diesiocho
19,diecinueve,diecinueve,diesinueve
20,veinte,veinte,bejnte
21,veintiuno,veintiuno,bejintiuno
30,treinta,treinta,trejnta
31,treinta y uno,treinta i uno,trejnta i uno
40,cuarenta,cuarenta,kuarenta
41,cuarenta y uno,cuarenta i uno,kuarenta i uno
50,cincuenta,cincuenta,sinkuenta
51,cincuenta y uno,cincuenta i uno,sinkuenta i uno
60,sesenta,sesenta,sesenta
61,sesenta y uno,sesenta i uno,sesenta i uno
70,setenta,setenta,setenta
71,setenta y uno,setenta i uno,setenta i uno
80,ochenta,ochenta,ochenta
81,ochenta y uno,ochenta i uno,ochenta i uno
90,noventa,noventa,noventa
91,noventa y uno,noventa i uno,noventa i uno
100,cien,cien,cien
101,ciento uno,ciento i uno,ciento i uno
200,doscientos,doscientos,dosjentos
300,trescientos,trescientos,tresjentos
400,cuatrocientos,cuatrocientos,kuatrojentos
500,quinientos,quinientos,kinjentos
600,seiscientos,seiscientos,saysjentos
700,setecientos,setecientos,setesjentos
800,ochocientos,ochocientos,otchosjentos
900,novecientos,novecientos,novejesjentos
1000,mil,mil,mil
1000000,un millon,un millón,un miljon
